especie,fecha,den,habitat,cota,mes,year
Oenanthe oenanthe,1982-06-06,0.5,cumbres,3200,6,1982
Phoenicurus ochruros,1982-06-06,3,cumbres,3200,6,1982
Prunella collaris,1982-06-06,2.5,cumbres,3200,6,1982
Oenanthe oenanthe,1982-06-07,0.5,cumbres,3200,6,1982
Phoenicurus ochruros,1982-06-07,1,cumbres,3200,6,1982
Prunella collaris,1982-06-07,4,cumbres,3200,6,1982
Oenanthe oenanthe,1982-07-12,1,cumbres,3200,7,1982
Carduelis cannabina,1982-07-12,0.5,cumbres,3200,7,1982
Ptyonoprogne rupestris,1982-07-12,0.5,cumbres,3200,7,1982
Oenanthe oenanthe,1982-07-13,1.5,cumbres,3200,7,1982
Prunella collaris,1982-07-13,2.5,cumbres,3200,7,1982
Carduelis cannabina,1982-07-13,0.5,cumbres,3200,7,1982
Phoenicurus ochruros,1982-07-13,0.5,cumbres,3200,7,1982
Delichon urbicum,1982-07-13,0.5,cumbres,3200,7,1982
Prunella collaris,1982-07-23,1,cumbres,3200,7,1982
Phoenicurus ochruros,1982-07-23,1,cumbres,3200,7,1982
Oenanthe oenanthe,1982-07-23,0.5,cumbres,3200,7,1982
Carduelis cannabina,1982-07-23,3.5,cumbres,3200,7,1982
Prunella collaris,1982-07-24,3,cumbres,3200,7,1982
Oenanthe oenanthe,1982-07-24,0.5,cumbres,3200,7,1982
Phoenicurus ochruros,1982-07-24,0.5,cumbres,3200,7,1982
Carduelis cannabina,1982-07-24,1,cumbres,3200,7,1982
Oenanthe oenanthe,1984-05-05,15.69,enebral,2230,5,1984
Alauda arvensis,1984-05-05,3.92,enebral,2230,5,1984
Emberiza cia,1984-05-05,15.69,enebral,2230,5,1984
Phoenicurus ochruros,1984-05-05,0.98,enebral,2230,5,1984
Anthus campestris,1984-05-05,0.98,enebral,2230,5,1984
Alectoris rufa,1984-05-05,0.98,enebral,2230,5,1984
Alauda arvensis,1984-05-13,5.88,enebral,2230,5,1984
Oenanthe oenanthe,1984-05-13,12.75,enebral,2230,5,1984
Phoenicurus ochruros,1984-05-13,0.98,enebral,2230,5,1984
Emberiza cia,1984-05-13,3.92,enebral,2230,5,1984
Alectoris rufa,1984-05-13,2.94,enebral,2230,5,1984
Alauda arvensis,1984-05-31,3.92,enebral,2230,5,1984
Oenanthe oenanthe,1984-05-31,9.8,enebral,2230,5,1984
Prunella collaris,1984-05-31,0.98,enebral,2230,5,1984
Emberiza cia,1984-05-31,1.96,enebral,2230,5,1984
Phoenicurus ochruros,1984-05-31,1.96,enebral,2230,5,1984
Troglodytes troglodytes,1984-05-31,0.98,enebral,2230,5,1984
Carduelis cannabina,1984-05-31,1.96,enebral,2230,5,1984
Alectoris rufa,1984-05-31,1.96,enebral,2230,5,1984
Alauda arvensis,1984-06-07,6.86,enebral,2230,6,1984
Oenanthe oenanthe,1984-06-07,7.84,enebral,2230,6,1984
Emberiza cia,1984-06-07,2.94,enebral,2230,6,1984
Carduelis cannabina,1984-06-07,0.98,enebral,2230,6,1984
Phoenicurus ochruros,1984-06-07,2.94,enebral,2230,6,1984
Prunella collaris,1984-06-07,0.98,enebral,2230,6,1984
Carduelis cannabina,1984-06-13,3.92,enebral,2230,6,1984
Alauda arvensis,1984-06-13,1.96,enebral,2230,6,1984
Oenanthe oenanthe,1984-06-13,8.82,enebral,2230,6,1984
Phoenicurus ochruros,1984-06-13,0.98,enebral,2230,6,1984
Emberiza cia,1984-06-13,3.92,enebral,2230,6,1984
Alectoris rufa,1984-06-13,2.94,enebral,2230,6,1984
Alauda arvensis,1984-06-20,2.94,enebral,2230,6,1984
Oenanthe oenanthe,1984-06-20,5.88,enebral,2230,6,1984
Carduelis cannabina,1984-06-20,5.88,enebral,2230,6,1984
Emberiza cia,1984-06-20,4.9,enebral,2230,6,1984
Sylvia communis,1984-06-20,0.98,enebral,2230,6,1984
Alauda arvensis,1984-07-04,5.88,enebral,2230,7,1984
Carduelis cannabina,1984-07-04,1.96,enebral,2230,7,1984
Oenanthe oenanthe,1984-07-04,6.86,enebral,2230,7,1984
Emberiza cia,1984-07-04,2.94,enebral,2230,7,1984
Sylvia communis,1984-07-04,0.98,enebral,2230,7,1984
Oenanthe oenanthe,1984-07-14,5.88,enebral,2230,7,1984
Alauda arvensis,1984-07-14,3.92,enebral,2230,7,1984
Emberiza cia,1984-07-14,3.92,enebral,2230,7,1984
Anthus campestris,1984-07-14,0.98,enebral,2230,7,1984
Carduelis cannabina,1984-07-14,0.98,enebral,2230,7,1984
Ptyonoprogne rupestris,1984-07-14,0.98,enebral,2230,7,1984
Delichon urbicum,1984-07-14,0.98,enebral,2230,7,1984
Oenanthe oenanthe,1984-07-21,6.86,enebral,2230,7,1984
Carduelis cannabina,1984-07-21,1.96,enebral,2230,7,1984
Alauda arvensis,1984-07-21,2.94,enebral,2230,7,1984
Emberiza cia,1984-07-21,5.88,enebral,2230,7,1984
Sylvia communis,1984-07-21,0.98,enebral,2230,7,1984
Delichon urbicum,1984-07-21,0.98,enebral,2230,7,1984
Carduelis carduelis,1985-05-01,0,enebral,2230,5,1985
Carduelis carduelis,1985-06-01,0,enebral,2230,6,1985
Carduelis carduelis,1985-07-01,0.1,enebral,2230,7,1985
Alauda arvensis,1985-05-01,5.1,enebral,2230,5,1985
Alauda arvensis,1985-06-01,5.4,enebral,2230,6,1985
Alauda arvensis,1985-07-01,5.7,enebral,2230,7,1985
Emberiza cia,1985-05-01,5.2,enebral,2230,5,1985
Emberiza cia,1985-06-01,6.5,enebral,2230,6,1985
Emberiza cia,1985-07-01,9.1,enebral,2230,7,1985
Troglodytes troglodytes,1985-05-01,1,enebral,2230,5,1985
Troglodytes troglodytes,1985-06-01,1,enebral,2230,6,1985
Troglodytes troglodytes,1985-07-01,1.3,enebral,2230,7,1985
Anthus campestris,1985-05-01,0.6,enebral,2230,5,1985
Anthus campestris,1985-06-01,0.8,enebral,2230,6,1985
Anthus campestris,1985-07-01,1.6,enebral,2230,7,1985
Sylvia communis,1985-05-01,0.3,enebral,2230,5,1985
Sylvia communis,1985-06-01,1,enebral,2230,6,1985
Sylvia communis,1985-07-01,1.8,enebral,2230,7,1985
Oenanthe oenanthe,1985-05-01,6.9,enebral,2230,5,1985
Oenanthe oenanthe,1985-06-01,7.2,enebral,2230,6,1985
Oenanthe oenanthe,1985-07-01,8.4,enebral,2230,7,1985
Phoenicurus ochruros,1985-05-01,0.9,enebral,2230,5,1985
Phoenicurus ochruros,1985-06-01,1.1,enebral,2230,6,1985
Phoenicurus ochruros,1985-07-01,0.2,enebral,2230,7,1985
Carduelis cannabina,1985-05-01,0.9,enebral,2230,5,1985
Carduelis cannabina,1985-06-01,5.3,enebral,2230,6,1985
Carduelis cannabina,1985-07-01,10.4,enebral,2230,7,1985
Phylloscopus bonelli,1981-05-01,8,robledal,1700,5,1981
Phylloscopus bonelli,1981-06-01,13.8,robledal,1700,6,1981
Phylloscopus bonelli,1981-07-01,14.6,robledal,1700,7,1981
Sylvia atricapilla,1981-05-01,4.4,robledal,1700,5,1981
Sylvia atricapilla,1981-06-01,4.6,robledal,1700,6,1981
Sylvia atricapilla,1981-07-01,6.8,robledal,1700,7,1981
Serinus serinus,1981-05-01,3,robledal,1700,5,1981
Serinus serinus,1981-06-01,0,robledal,1700,6,1981
Serinus serinus,1981-07-01,0,robledal,1700,7,1981
Oriolus oriolus,1981-05-01,0,robledal,1700,5,1981
Oriolus oriolus,1981-06-01,2.3,robledal,1700,6,1981
Oriolus oriolus,1981-07-01,1.5,robledal,1700,7,1981
Carduelis carduelis,1981-05-01,1.6,robledal,1700,5,1981
Carduelis carduelis,1981-06-01,1,robledal,1700,6,1981
Carduelis carduelis,1981-07-01,1.5,robledal,1700,7,1981
Lullula arborea,1981-05-01,0,robledal,1700,5,1981
Lullula arborea,1981-06-01,0,robledal,1700,6,1981
Lullula arborea,1981-07-01,1.8,robledal,1700,7,1981
Alauda arvensis,1981-05-01,0,robledal,1700,5,1981
Alauda arvensis,1981-06-01,1.5,robledal,1700,6,1981
Alauda arvensis,1981-07-01,0,robledal,1700,7,1981
Luscinia megarhynchos,1981-05-01,0,robledal,1700,5,1981
Luscinia megarhynchos,1981-06-01,0.8,robledal,1700,6,1981
Luscinia megarhynchos,1981-07-01,0,robledal,1700,7,1981
Stretopelia turtur,1981-05-01,0,robledal,1700,5,1981
Stretopelia turtur,1981-06-01,1.5,robledal,1700,6,1981
Stretopelia turtur,1981-07-01,1.5,robledal,1700,7,1981
Picus viridis,1981-05-01,1.5,robledal,1700,5,1981
Picus viridis,1981-06-01,0.7,robledal,1700,6,1981
Picus viridis,1981-07-01,0,robledal,1700,7,1981
Cuculus canorus,1981-05-01,0.7,robledal,1700,5,1981
Cuculus canorus,1981-06-01,0.7,robledal,1700,6,1981
Cuculus canorus,1981-07-01,2.8,robledal,1700,7,1981
Columba palumbus,1981-05-01,9.5,robledal,1700,5,1981
Columba palumbus,1981-06-01,10,robledal,1700,6,1981
Columba palumbus,1981-07-01,9.2,robledal,1700,7,1981
Garrulus glandarius,1981-05-01,6.8,robledal,1700,5,1981
Garrulus glandarius,1981-06-01,6.1,robledal,1700,6,1981
Garrulus glandarius,1981-07-01,7,robledal,1700,7,1981
Periparus ater,1981-05-01,3,robledal,1700,5,1981
Periparus ater,1981-06-01,3,robledal,1700,6,1981
Periparus ater,1981-07-01,3.1,robledal,1700,7,1981
Emberiza cia,1981-05-01,4.5,robledal,1700,5,1981
Emberiza cia,1981-06-01,2.3,robledal,1700,6,1981
Emberiza cia,1981-07-01,4.6,robledal,1700,7,1981
Turdus viscivorus,1981-05-01,2.2,robledal,1700,5,1981
Turdus viscivorus,1981-06-01,0,robledal,1700,6,1981
Turdus viscivorus,1981-07-01,2.3,robledal,1700,7,1981
Certhia brachydactyla,1981-05-01,1.4,robledal,1700,5,1981
Certhia brachydactyla,1981-06-01,1.5,robledal,1700,6,1981
Certhia brachydactyla,1981-07-01,0.7,robledal,1700,7,1981
Erithacus rubecula,1981-05-01,8.3,robledal,1700,5,1981
Erithacus rubecula,1981-06-01,10,robledal,1700,6,1981
Erithacus rubecula,1981-07-01,5.3,robledal,1700,7,1981
Troglodytes troglodytes,1981-05-01,3.8,robledal,1700,5,1981
Troglodytes troglodytes,1981-06-01,2.3,robledal,1700,6,1981
Troglodytes troglodytes,1981-07-01,4.3,robledal,1700,7,1981
Cyanistes caeruleus,1981-05-01,18.2,robledal,1700,5,1981
Cyanistes caeruleus,1981-06-01,21.5,robledal,1700,6,1981
Cyanistes caeruleus,1981-07-01,26.1,robledal,1700,7,1981
Turdus merula,1981-05-01,10.7,robledal,1700,5,1981
Turdus merula,1981-06-01,10,robledal,1700,6,1981
Turdus merula,1981-07-01,11.5,robledal,1700,7,1981
Parus major,1981-05-01,9.6,robledal,1700,5,1981
Parus major,1981-06-01,7.6,robledal,1700,6,1981
Parus major,1981-07-01,12.3,robledal,1700,7,1981
Fringilla coelebs,1981-05-01,12,robledal,1700,5,1981
Fringilla coelebs,1981-06-01,16.1,robledal,1700,6,1981
Fringilla coelebs,1981-07-01,17.8,robledal,1700,7,1981
Acrocephalus dumetorum,2015-05-20,1.03,robledal,1700,5,2015
Aegithalos caudatus,2008-05-13,0.52,robledal,1700,5,2008
Aegithalos caudatus,2008-06-16,2.59,robledal,1700,6,2008
Aegithalos caudatus,2009-05-13,2.07,robledal,1700,5,2009
Aegithalos caudatus,2011-05-06,0.52,robledal,1700,5,2011
Aegithalos caudatus,2012-05-07,1.03,robledal,1700,5,2012
Aegithalos caudatus,2012-07-20,1.55,robledal,1700,7,2012
Aegithalos caudatus,2014-07-24,2.07,robledal,1700,7,2014
Aegithalos caudatus,2015-07-29,1.55,robledal,1700,7,2015
Aegithalos caudatus,2018-07-30,1.55,robledal,1700,7,2018
