especie,sp.abb
Oenanthe oenanthe,Oen.oen
Phoenicurus ochruros,Pho.och
Prunella collaris,Pru.col
Carduelis cannabina,Car.can
Alauda arvensis,Ala.arv
Emberiza cia,Emb.cia
Anthus campestris,Ant.cam
Troglodytes troglodytes,Tro.tro
Sylvia communis,Syl.com
Carduelis carduelis,Car.car
Phylloscopus bonelli,Phy.bon
Sylvia atricapilla,Syl.atr
Serinus serinus,Ser.ser
Oriolus oriolus,Ori.ori
Lullula arborea,Lul.arb
Luscinia megarhynchos,Lus.meg
Stretopelia turtur,Str.tur
Picus viridis,Pic.vir
Cuculus canorus,Cuc.can
Garrulus glandarius,Gar.gla
Periparus ater,Per.ate
Turdus viscivorus,Tur.vis
Certhia brachydactyla,Cer.bra
Erithacus rubecula,Eri.rub
Cyanistes caeruleus,Cya.cae
Turdus merula,Tur.mer
Parus major,Par.maj
Fringilla coelebs,Fri.coe
Aegithalos caudatus,Aeg.cau
Dendrocopos major,Den.maj
Emberiza cirlus,Emb.cir
Galerida theklae,Gal.the
Hippolais polyglotta,Hip.pol
Lophophanes cristatus,Lop.cri
Loxia curvirostra,Lox.cur
Monticola saxatilis,Mon.sax
Motacilla cinerea,Mot.cin
Phylloscopus ibericus,Phy.ibe
Pica pica,Pic.pic
Prunella modularis,Pru.mod
Regulus ignicapillus,Reg.ign
Saxicola rubetra,Sax.rub
Saxicola rubicola,Sax.rub
Sitta europaea,Sit.eur
Sylvia cantillans,Syl.can
Sylvia conspicillata,Syl.con
Sylvia melanocephala,Syl.mel
Sylvia undata,Syl.und
Turdus philomelos,Tur.phi
