yearF,habitat,abtotalavg,sd,se
1983,cumbres,1.16,NA,NA
1983,enebral,2.91,0.48083261120685244,0.3400000000000001
1983,robledal,5.04,NA,NA
2009,cumbres,0.9,0.09192388155425119,0.065
2009,enebral,2.4,0.25455844122715704,0.17999999999999994
2009,robledal,1.58,0.2545584412271572,0.18000000000000005
2018,cumbres,1.48,0.021213203435596444,0.015000000000000012
2018,enebral,1.52,0.19798989873223333,0.14
2018,robledal,1.46,0.38890872965260115,0.27499999999999997
