sp
Sylvia atricapilla subsp. atricapilla
Turdus viscivorus
Erithacus rubecula
Turdus merula
Garrulus glandarius
Turdus torquatus
Turdus iliacus
Fringilla coelebs
Parus major
Cyanistes caeruleus
Emberiza cia
Picus viridis
Pica pica
Columba palumbus
Certhia brachydactyla
Carduelis citrinella
Phoenicurus ochruros
Alectoris rufa
Serinus serinus
Lullula arborea
Aegithalos caudatus
Sitta europaea
Emberiza cirlus
Saxicola rubicola
Alauda arvensis
Carduelis cannabina
Carduelis carduelis
Anthus spinoletta
Periparus ater
Galerida theklae
Prunella modularis
Oenanthe hispanica
Oenanthe oenanthe
Anthus campestris
Monticola saxatilis
Upupa epops
Lanius excubitor
Cuculus canorus
Pyrrhocorax pyrrhocorax
Loxia curvirostra
Coccothraustes coccothraustes
Petronia petronia
Miliaria calandra
Emberiza hortulana
Prunella collaris
Lophophanes cristatus
Caprimulgus europaeus
Turdus philomelos
Lanius senator
Estrilda senegalesa
Fringilla montifringilla
Troglodytes troglodytes
Oceanodroma leucorhoa
Himantopus himantopus
Ficedula albicollis
Ixobrychus sturmii
Phylloscopus ibericus
Puffinus yelkouan
Tringa
Emberiza schoeniclus subsp. lusitanica
Prunus avium
Puffinus assimilis
Acrocephalus dumetorum
Sula dactylatra
Corvus corax
Muscicapa striata
Phylloscopus bonelli
Sylvia communis
Sylvia undata
Sturnus unicolor
Parula americana
Motacilla cinerea
Regulus ignicapillus
Phoenicurus phoenicurus
Phylloscopus collybita
Hippolais polyglotta
Sylvia conspicillata
Sylvia cantillans
Carduelis spinus
Merops apiaster
Saxicola rubetra
Emberiza melanocephala
Clamator glandarius
Emberiza schoeniclus subsp. schoeniclus
Oceanodroma castro
Streptopelia turtur
Cinclus cinclus
Dendrocopos major
Corvus monedula
Carduelis chloris
Motacilla alba
Sylvia atricapilla
Sylvia melanocephala
Botaurus lentiginosus
Luscinia megarhynchos
Acrocephalus paludicola
Luscinia svecica
Oriolus oriolus
Passer domesticus
Rissa
Corvus corone subsp. cornix
Larus glaucescens
Galerida cristata
Coturnix coturnix
Fulmarus glacialis
Emberiza citrinella
Acrocephalus schoenobaenus
Hirundo rustica
Pagophila eburnea
Monticola solitarius
Himantopus
Ficedula hypoleuca
Turdus pilaris
Jynx torquilla
Anthus pratensis
Pyrrhula pyrrhula
Charadrius morinellus
Sterna caspia
Botaurus stellaris
