habitat,year,richness
cumbres,1982,6
cumbres,2008,4
cumbres,2009,3
cumbres,2012,5
cumbres,2013,1
cumbres,2014,3
cumbres,2015,4
cumbres,2016,5
cumbres,2017,3
cumbres,2018,3
enebral,1984,11
enebral,1985,9
enebral,2008,10
enebral,2009,10
enebral,2010,8
enebral,2011,9
enebral,2012,10
enebral,2013,8
enebral,2014,10
enebral,2015,12
enebral,2016,9
enebral,2017,10
enebral,2018,12
robledal,1981,22
robledal,2008,18
robledal,2009,12
robledal,2010,19
robledal,2011,22
robledal,2012,22
robledal,2013,17
robledal,2014,22
robledal,2015,22
robledal,2017,7
robledal,2018,26
